"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"Manhattan Early College School for Advertising","417",32,0.077,11,NA,NA,18,2019
"The River School","366",17,0.046,NA,NA,NA,12,2019
"Urban Assembly Maker Academy","404",28,0.069,13,NA,NA,14,2019
"Food and Finance High School","373",15,0.04,11,NA,NA,NA,2019
"I.S. 289","286",19,0.066,NA,NA,NA,12,2019
"Essex Street Academy","333",13,0.039,6,NA,NA,6,2019
"High School of Hospitality Management","379",38,0.1,19,13,6,16,2019
"M.S. 297","576",39,0.068,22,NA,NA,11,2019
"Pace High School","581",46,0.079,18,9,9,23,2019
"Urban Assembly School of Design and Construction,","305",45,0.148,20,11,9,21,2019
"Facing History School, The","375",47,0.125,21,NA,NA,22,2019
"Urban Assembly Academy of Government and Law, The","304",24,0.079,10,NA,NA,13,2019
"Lower Manhattan Arts Academy","293",35,0.119,14,NA,NA,19,2019
"James Baldwin School, The: A School for Expedition","258",15,0.058,NA,NA,NA,8,2019
"Urban Assembly School of Business for Young Women,","186",18,0.097,6,NA,NA,9,2019
"The 47 American Sign Language & English Lower Scho","207",42,0.203,22,15,7,15,2019
"Gramercy Arts High School","449",40,0.089,15,9,6,20,2019
"NYC iSchool","466",17,0.036,NA,NA,NA,9,2019
"District 2 Pre-K Center","545",17,0.031,9,NA,NA,6,2019
"MANHATTAN BUSINESS ACADEMY","421",47,0.112,22,15,7,22,2019
"Business Of Sports School","441",57,0.129,21,NA,NA,31,2019
"Emma Lazarus High School","384",7,0.018,NA,NA,NA,NA,2019
"Spruce Street School","567",15,0.026,8,NA,NA,6,2019
"The High School For Language And Diplomacy","307",33,0.107,8,NA,NA,22,2019
"High School for Environmental Studies","1127",60,0.053,30,20,10,24,2019
"Institute for Collaborative Education","484",22,0.045,6,NA,NA,11,2019
"Professional Performing Arts High School","568",18,0.032,NA,NA,NA,8,2019
"Baruch College Campus High School","488",7,0.014,NA,NA,NA,7,2019
"N.Y.C. Lab School for Collaborative Studies","475",12,0.025,NA,NA,NA,6,2019
"School of the Future High School","751",31,0.041,6,NA,NA,19,2019
"Millennium High School","683",27,0.04,NA,NA,NA,24,2019
"Landmark High School","329",28,0.085,12,NA,NA,12,2019
"High School for Health Professions and Human Servi","1801",72,0.04,27,14,13,41,2019
"Quest to Learn","537",59,0.11,25,17,8,29,2019
"Leadership and Public Service High School","451",29,0.064,12,NA,NA,14,2019
"MANHATTAN ACADEMY FOR ARTS & LANGUAGE","250",107,0.428,20,NA,NA,83,2019
"Murray Hill Academy","310",36,0.116,13,NA,NA,19,2019
"Hudson High School of Learning Technologies","472",50,0.106,17,9,8,32,2019
"International High School at Union Square","383",138,0.36,16,NA,NA,118,2019
"Manhattan Village Academy","457",15,0.033,NA,NA,NA,13,2019
"Home Schooling","359",14,0.039,7,NA,NA,NA,2019
"Vanguard High School","438",31,0.071,12,6,6,13,2019
"Manhattan International High School","314",59,0.188,9,NA,NA,45,2019
"Washington Irving Yabc","199",20,0.101,11,NA,NA,9,2019
"Stuyvesant High School","3312",42,0.013,NA,NA,NA,39,2019
"High School of Economics and Finance","731",53,0.073,23,NA,NA,29,2019
"Unity Center for Urban Technologies","275",33,0.12,20,12,8,11,2019
"Urban Assembly Gateway School for Technology","458",36,0.079,11,NA,NA,23,2019
"Talent Unlimited High School","507",11,0.022,NA,NA,NA,7,2019
"Murry Bergtraum High School for Business Careers","170",16,0.094,8,NA,NA,8,2019
"P.S. 527 - East Side School for Social Action","437",12,0.027,NA,NA,NA,8,2019
"Jacqueline Kennedy Onassis High School","432",50,0.116,24,11,13,22,2019
"Repertory Company High School for Theatre Arts","237",9,0.038,NA,NA,NA,6,2019
"Union Square Academy for Health Sciences","414",38,0.092,11,NA,NA,26,2019
"Harvest Collegiate High School","472",27,0.057,NA,NA,NA,22,2019
"Manhattan Bridges High School","543",107,0.197,18,12,6,88,2019
"New Design High School","430",46,0.107,25,10,15,17,2019
"Independence High School","377",42,0.111,26,15,11,9,2019
"High School for Dual Language and Asian Studies","404",52,0.129,NA,NA,NA,52,2019
"Academy for Software Engineering","461",16,0.035,NA,NA,NA,9,2019
"Liberty High School Academy for Newcomers","536",160,0.299,21,NA,NA,125,2019
"Urban Assembly New York Harbor School","528",32,0.061,11,NA,NA,18,2019
"High School M560 - City As School","665",63,0.095,26,14,12,28,2019
"Urban Academy Laboratory High School","164",12,0.073,7,NA,NA,NA,2019
"Satellite Academy High School","271",22,0.081,8,NA,NA,13,2019
"Manhattan Comprehensive Night and Day High School","844",86,0.102,23,9,14,50,2019
"Richard R. Green High School of Teaching","434",31,0.071,14,NA,NA,12,2019
"Harvey Milk High School","82",14,0.171,6,NA,NA,6,2019
"The High School of Fashion Industries","1544",94,0.061,46,27,19,44,2019
"Humanities Preparatory Academy","244",48,0.197,6,NA,NA,38,2019
"Chelsea Career and Technical Education High School","447",31,0.069,12,NA,NA,16,2019
"Art and Design High School","1466",66,0.045,21,13,8,42,2019
"Life Sciences Secondary School","448",38,0.085,23,NA,NA,14,2019
"Universal Pre-K C.B.O.","868",61,0.07,23,NA,NA,38,2019
"City Knoll Middle School","188",39,0.207,36,NA,NA,NA,2019
"P.S. 009 Sarah Anderson","634",44,0.069,13,NA,NA,31,2019
"J.H.S. 054 Booker T. Washington","867",13,0.015,NA,NA,NA,9,2019
"P.S. 075 Emily Dickinson","572",68,0.119,39,NA,NA,28,2019
"P.S. 076 A. Philip Randolph","463",125,0.27,70,49,21,54,2019
"P.S. 084 Lillian Weber","697",41,0.059,13,NA,NA,21,2019
"P.S. 087 William Sherman","904",13,0.014,10,NA,NA,NA,2019
"P.S. 145, The Bloomingdale School","420",80,0.19,46,NA,NA,32,2019
"P.S. 149 Sojourner Truth","252",58,0.23,32,NA,NA,24,2019
"P.S. 163 Alfred E. Smith","579",48,0.083,13,NA,NA,27,2019
"P.S. 165 Robert E. Simon","461",81,0.176,32,NA,NA,48,2019
"P.S. 166 The Richard Rodgers School of The Arts an","646",14,0.022,NA,NA,NA,8,2019
"P.S. 180 Hugo Newman","567",93,0.164,24,NA,NA,66,2019
"The Locke School of Arts and Engineering","379",35,0.092,27,NA,NA,7,2019
"The Riverside School for Makers and Artists","595",81,0.136,31,23,8,38,2019
"STEM Institute of Manhattan","138",22,0.159,NA,NA,NA,15,2019
"P.S. 242 - The Young Diplomats Magnet Academy","143",36,0.252,21,NA,NA,14,2019
"M.S. M245 The Computer School","404",13,0.032,NA,NA,NA,12,2019
"M.S. M247 Dual Language Middle School","231",34,0.147,8,NA,NA,26,2019
"M.S. 250 West Side Collaborative Middle School","172",28,0.163,9,NA,NA,16,2019
"Lafayette Academy","158",28,0.177,11,NA,NA,17,2019
"Community Action School - MS 258","249",25,0.1,9,NA,NA,14,2019
"West End Secondary School","435",11,0.025,NA,NA,NA,10,2019
"The Maxine Greene HS for Imaginative Inquiry","358",42,0.117,18,10,8,21,2019
"Urban Assembly School for Media Studies, The","413",41,0.099,17,9,8,21,2019
"P.S. 333 Manhattan School for Children","765",13,0.017,NA,NA,NA,9,2019
"The Urban Assembly School for Green Careers","311",31,0.1,12,NA,NA,17,2019
"The Global Learning Collaborative","412",40,0.097,12,NA,NA,24,2019
"Innovation Diploma Plus","228",16,0.07,9,NA,NA,NA,2019
"Wadleigh Secondary School for the Performing & Vis","312",49,0.157,33,22,11,15,2019
"Frank Mccourt High School","419",17,0.041,NA,NA,NA,12,2019
"West Prep Academy","218",36,0.165,22,NA,NA,9,2019
"Home Schooling","203",9,0.044,NA,NA,NA,NA,2019
"P.S. 452","400",8,0.02,NA,NA,NA,NA,2019
"Beacon High School","1432",9,0.006,NA,NA,NA,6,2019
"Fiorello H. LaGuardia High School of Music & Art a","2753",12,0.004,NA,NA,NA,8,2019
"High School for Law, Advocacy and Community Justic","429",52,0.121,31,16,15,18,2019
"High School of Arts and Technology","475",54,0.114,31,22,9,21,2019
"Edward A. Reynolds West Side High School","456",58,0.127,27,12,15,26,2019
"Manhattan / Hunter Science High School","443",12,0.027,NA,NA,NA,9,2019
"Universal Pre-K C.B.O.","555",63,0.114,24,NA,NA,37,2019
"Special Music School","314",8,0.025,NA,NA,NA,NA,2019
"Frederick Douglass Academy II Secondary School","370",69,0.186,32,18,14,30,2019
"Mott Hall II","438",24,0.055,11,NA,NA,11,2019
"P.S. 007 Samuel Stern","423",88,0.208,39,28,11,48,2019
"Tag Young Scholars","603",12,0.02,NA,NA,NA,7,2019
"River East Elementary","264",32,0.121,15,9,6,14,2019
"P.S. 38 Roberto Clemente","265",81,0.306,49,42,7,28,2019
"James Weldon Johnson","813",208,0.256,82,47,35,122,2019
"The Lexington Academy","667",163,0.244,57,43,14,102,2019
"P.S. 083 Luis Munoz Rivera","435",39,0.09,29,22,7,9,2019
"P.S. 096 Joseph Lanzetta","423",93,0.22,43,31,12,41,2019
"P.S. 102 Jacques Cartier","305",66,0.216,34,22,12,29,2019
"P.S. 108 Assemblyman Angelo Del Toro Educational C","495",74,0.149,47,38,9,22,2019
"P.S. 112 Jose Celso Barbosa","351",62,0.177,27,NA,NA,35,2019
"P.S. 146 Ann M. Short","410",100,0.244,51,44,7,49,2019
"P.S. 155 William Paca","254",43,0.169,12,NA,NA,30,2019
"P.S. 171 Patrick Henry","778",77,0.099,21,13,8,54,2019
"The Bilingual Bicultural School","331",93,0.281,18,NA,NA,74,2019
"P.S. 206 Jose Celso Barbosa","500",81,0.162,36,25,11,40,2019
"M.S. 224 Manhattan East School for Arts & Academic","196",10,0.051,6,NA,NA,NA,2019
"THE JUDITH S. KAYE HIGH SCHOOL","109",17,0.156,13,NA,NA,NA,2019
"Esperanza Preparatory Academy","594",108,0.182,24,NA,NA,77,2019
"Mosaic Preparatory Academy","320",102,0.319,60,47,13,41,2019
"Renaissance School of the Arts","171",35,0.205,14,NA,NA,18,2019
"Manhattan Center for Science and Mathematics","1654",44,0.027,17,NA,NA,22,2019
"Home Schooling","82",8,0.098,NA,NA,NA,NA,2019
"Park East High School","393",17,0.043,7,NA,NA,10,2019
"Central Park East I","190",15,0.079,NA,NA,NA,11,2019
"Central Park East High School","511",16,0.031,NA,NA,NA,10,2019
"Young Women's Leadership School","480",17,0.035,7,NA,NA,10,2019
"Heritage School, The","309",22,0.071,11,NA,NA,9,2019
"Universal Pre-K C.B.O.","424",51,0.12,23,NA,NA,28,2019
"Isaac Newton Middle School for Math & Science","241",26,0.108,6,NA,NA,19,2019
"Central Park East II","500",55,0.11,22,15,7,27,2019
"P.S. 030 Hernandez/Hughes","275",71,0.258,31,25,6,37,2019
"P.S. 036 Margaret Douglas","390",88,0.226,32,20,12,56,2019
"P.S. 046 Arthur Tappan","637",121,0.19,52,41,11,64,2019
"P.S. 092 Mary McLeod Bethune","265",75,0.283,43,35,8,24,2019
"P.S. 123 Mahalia Jackson","520",202,0.388,117,62,55,84,2019
"P.S. 125 Ralph Bunche","306",24,0.078,7,NA,NA,17,2019
"P.S. 129 John H. Finley","457",97,0.212,63,40,23,32,2019
"P.S. 133 Fred R Moore","249",59,0.237,28,NA,NA,31,2019
"Eagle Academy for Young Men of Harlem","387",42,0.109,15,8,7,25,2019
"P.S. 154 Harriet Tubman","301",77,0.256,37,25,12,39,2019
"The Urban Assembly School for Global Commerce","253",25,0.099,11,NA,NA,10,2019
"P.S. 161 Pedro Albizu Campos","847",222,0.262,55,31,24,146,2019
"P.S. 175 Henry H Garnet","371",74,0.199,64,50,14,7,2019
"P.S. 194 Countee Cullen","228",75,0.329,44,34,10,30,2019
"P.S. 197 John B. Russwurm","344",99,0.288,63,44,19,29,2019
"P.S. 200- The James Mccune Smith School","431",92,0.213,56,30,26,34,2019
"Harlem Renaissance High School","251",33,0.131,20,11,9,8,2019
"Urban Assembly Academy for Future Leaders","141",25,0.177,18,10,8,NA,2019
"Mott Hall High School","297",61,0.205,28,22,6,27,2019
"Thurgood Marshall Academy Lower School","213",35,0.164,11,NA,NA,20,2019
"Columbia Secondary School","713",39,0.055,9,NA,NA,26,2019
"Urban Assembly School for the Performing Arts","369",37,0.1,21,14,7,13,2019
"Home Schooling","145",8,0.055,NA,NA,NA,NA,2019
"Frederick Douglass Academy","1237",129,0.104,70,39,31,56,2019
"New Design Middle School","149",26,0.174,12,6,6,11,2019
"Teachers College Community School","324",24,0.074,NA,NA,NA,19,2019
"Thurgood Marshall Academy for Learning and Social","544",63,0.116,19,7,12,36,2019
"High School for Mathematics, Science and Engineeri","487",8,0.016,NA,NA,NA,6,2019
"Universal Pre-K C.B.O.","697",117,0.168,46,39,7,70,2019
"P.S. 004 Duke Ellington","534",103,0.193,19,NA,NA,80,2019
"P.S. 005 Ellen Lurie","585",61,0.104,15,NA,NA,36,2019
"P.S. 008 Luis Belliard","525",70,0.133,20,NA,NA,47,2019
"P.S. 018 Park Terrace","363",121,0.333,NA,NA,NA,119,2019
"P.S. 028 Wright Brothers","625",190,0.304,57,40,17,126,2019
"P.S. 048 P.O. Michael J. Buczek","496",109,0.22,12,NA,NA,94,2019
"Harold O. Levy School","283",57,0.201,NA,NA,NA,52,2019
"P.S. 098 Shorac Kappock","443",102,0.23,NA,NA,NA,97,2019
"Dos Puentes Elementary School","418",93,0.222,NA,NA,NA,88,2019
"P.S. 115 Alexander Humboldt","482",123,0.255,15,NA,NA,104,2019
"P.S. 128 Audubon","633",206,0.325,12,NA,NA,193,2019
"P.S. 132 Juan Pablo Duarte","261",75,0.287,16,NA,NA,58,2019
"J.H.S. 143 Eleanor Roosevelt","275",45,0.164,10,NA,NA,33,2019
"P.S. 152 Dyckman Valley","583",231,0.396,14,NA,NA,215,2019
"P.S. 153 Adam Clayton Powell","555",147,0.265,38,28,10,109,2019
"P.S. 173","509",32,0.063,19,NA,NA,13,2019
"Professor Juan Bosch Public School","286",43,0.15,NA,NA,NA,41,2019
"P.S./I.S. 187 Hudson Cliffs","795",40,0.05,NA,NA,NA,39,2019
